AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Wellingborough,E07000156,0.281064678,0.284075766,0.299261893,0.29669341,0.2948678,0.272582241,0.282843993,0.307671495,0.309294582,0.291676939
Craven,E07000163,0.270335317,0.263197352,0.259112933,0.251131079,0.24366736,0.269002439,0.259296839,0.260933632,0.25204455,0.243010804
Hambleton,E07000164,0.17511232,0.186547709,0.182730642,0.177117665,0.167152857,0.171461773,0.181367042,0.179876699,0.173193547,0.166582158
Harrogate,E07000165,0.290564296,0.286947857,0.278932641,0.251383448,0.243420221,0.283444854,0.278722182,0.270443933,0.256816201,0.248031498
Richmondshire,E07000166,0.253878348,0.247179873,0.248412134,0.246455427,0.248033341,0.250392541,0.249653914,0.245370912,0.252431671,0.25689285
Ryedale,E07000167,0.293725564,0.292657494,0.292699376,0.253955782,0.239321824,0.292932603,0.286179735,0.290003638,0.246299313,0.245684499
Scarborough,E07000168,0.209794585,0.199886821,0.218924553,0.205883115,0.20748929,0.206472049,0.199775808,0.222706728,0.206775807,0.213375137
Selby,E07000169,0.222385622,0.230024367,0.226359718,0.216609852,0.212029138,0.227493424,0.228786147,0.224847668,0.218718812,0.200521915
Ashfield,E07000170,0.237886191,0.238392991,0.234019078,0.224533769,0.228170597,0.234896122,0.235501333,0.231348206,0.220659925,0.218501865
Bassetlaw,E07000171,0.336086761,0.347648197,0.371401133,0.359447869,0.371758533,0.334747737,0.346388327,0.376898895,0.366459705,0.378188516
Broxtowe,E07000172,0.343719867,0.340822088,0.340111639,0.348826237,0.362049889,0.342562472,0.339981776,0.344582782,0.3494561,0.360785097
Gedling,E07000173,0.367415094,0.359518802,0.36820366,0.37224285,0.353135984,0.367306893,0.356851567,0.376591208,0.355324661,0.361434545
Mansfield,E07000174,0.310047698,0.292057021,0.296410304,0.282567744,0.314061685,0.311742884,0.291917515,0.297399772,0.285146075,0.319806648
Newark and Sherwood,E07000175,0.347662913,0.339552517,0.329294684,0.343911558,0.335697344,0.351156906,0.328741869,0.325456648,0.342153108,0.331609536
Rushcliffe,E07000176,0.339678791,0.334729575,0.353078242,0.357122847,0.348168298,0.337628807,0.345914611,0.338083495,0.349499783,0.35396642
Cherwell,E07000177,0.281467255,0.282543826,0.285279897,0.264826936,0.252008992,0.295102076,0.28130676,0.276289316,0.26495027,0.262073075
Oxford,E07000178,0.380551405,0.370063819,0.358024298,0.361427428,0.330628664,0.381757198,0.365274504,0.363918073,0.354568943,0.321690978
South Oxfordshire,E07000179,0.310716735,0.29110343,0.290928802,0.292661326,0.307446759,0.311487081,0.287982847,0.293274519,0.293567247,0.308330498
Vale of White Horse,E07000180,0.35437676,0.35089029,0.358954078,0.366277067,0.365569195,0.357319295,0.361268564,0.366101223,0.344981861,0.388264782
West Oxfordshire,E07000181,0.308996094,0.304742713,0.300020481,0.319779179,0.304846556,0.300257034,0.301606714,0.301987199,0.317711956,0.288551585
Mendip,E07000187,0.204420922,0.214722354,0.219334365,0.197805981,0.197232697,0.21451387,0.215097507,0.212095394,0.196460588,0.191664575
Sedgemoor,E07000188,0.232046997,0.233927708,0.222608308,0.221433147,0.221616842,0.232562634,0.237521522,0.221679457,0.220019621,0.221011727
South Somerset,E07000189,0.225238922,0.235446604,0.219742009,0.209882354,0.206129446,0.225364562,0.22589656,0.233322686,0.207862061,0.207325655
Taunton Deane,E07000190,0.301792517,0.289675891,0.287332179,0.288659429,0.298499132,0.302144437,0.28661364,0.289234246,0.289426571,0.290591117
